product,warehouse,region,category,stock
Nirma Washing Powder 1kg,WH1-Kolkata,Kolkata,Laundry,237
Chumbak Printed Cushion Cover 40x40cm,WH1-Mumbai,Mumbai,Home Decor,587
Borosil Glass Mixing Bowl Set,WH2-Mumbai,Mumbai,Utensils,795
Aashirvaad Whole Wheat Atta 5kg,WH2-Pune,Pune,Groceries,363
Fortune Soya Oil 1L,WH1-Bangalore,Bangalore,Groceries,874
Tata Salt 1kg,WH2-Chennai,Chennai,Groceries,205
Himalaya Neem Face Wash 150ml,WH2-Chennai,Chennai,Bodycare,911
India Gate Basmati Rice (2 Years Aged) 5kg,WH1-Ahmedabad,Ahmedabad,Groceries,455
Sony Bravia 55" 4K TV,WH1-Hyderabad,Hyderabad,Electronics,674
Tata Salt 1kg,WH2-Hyderabad,Hyderabad,Groceries,484
Prestige Deluxe Alpha Pressure Cooker 5L,WH2-Ahmedabad,Ahmedabad,Utensils,862
Fortune Soya Oil 1L,WH1-Pune,Pune,Groceries,992
Dove Cream Beauty Bathing Bar 100g,WH2-Kolkata,Kolkata,Bodycare,587
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,490
Borosil Glass Mixing Bowl Set,WH2-Bangalore,Bangalore,Utensils,299
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Ahmedabad,Ahmedabad,Bodycare,271
Borosil Glass Mixing Bowl Set,WH1-Ahmedabad,Ahmedabad,Utensils,463
boAt Airdopes 141 Earbuds,WH2-Bangalore,Bangalore,Electronics,995
Banana Robusta 1kg,WH1-Kolkata,Kolkata,Groceries,512
H&M Relaxed Fit Hoodie,WH1-Delhi,Delhi,Apparel,480
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,325
Rin Bar 250g,WH1-Pune,Pune,Laundry,567
Nivea Men Deodorant 150ml,WH1-Hyderabad,Hyderabad,Bodycare,394
Himalaya Neem Face Wash 150ml,WH1-Chennai,Chennai,Bodycare,198
D'Decor Blackout Curtains 7ft,WH1-Kolkata,Kolkata,Home Decor,332
boAt Airdopes 141 Earbuds,WH2-Chennai,Chennai,Electronics,234
FabIndia Cotton Kurta,WH1-Hyderabad,Hyderabad,Apparel,942
Sony Bravia 55" 4K TV,WH1-Kolkata,Kolkata,Electronics,959
H&M Relaxed Fit Hoodie,WH2-Hyderabad,Hyderabad,Apparel,587
Rin Bar 250g,WH1-Pune,Pune,Laundry,161
IKEA RANARP Floor Lamp,WH1-Bangalore,Bangalore,Home Decor,307
Milton Thermosteel Flask 1L,WH1-Ahmedabad,Ahmedabad,Utensils,386
Fortune Soya Oil 1L,WH2-Kolkata,Kolkata,Groceries,857
Sony Bravia 55" 4K TV,WH1-Delhi,Delhi,Electronics,439
Himalaya Neem Face Wash 150ml,WH2-Ahmedabad,Ahmedabad,Bodycare,585
Tata Salt 1kg,WH2-Kolkata,Kolkata,Groceries,384
Ariel Complete Detergent Powder 500g,WH2-Bangalore,Bangalore,Laundry,423
Milton Thermosteel Flask 1L,WH2-Chennai,Chennai,Utensils,31
FabIndia Cotton Kurta,WH1-Chennai,Chennai,Apparel,191
Chumbak Printed Cushion Cover 40x40cm,WH2-Kolkata,Kolkata,Home Decor,50
Dove Cream Beauty Bathing Bar 100g,WH2-Hyderabad,Hyderabad,Bodycare,703
H&M Relaxed Fit Hoodie,WH1-Mumbai,Mumbai,Apparel,85
IKEA RANARP Floor Lamp,WH2-Ahmedabad,Ahmedabad,Home Decor,582
Nivea Men Deodorant 150ml,WH2-Delhi,Delhi,Bodycare,483
H&M Relaxed Fit Hoodie,WH2-Kolkata,Kolkata,Apparel,845
Tata Salt 1kg,WH2-Bangalore,Bangalore,Groceries,484
Ariel Complete Detergent Powder 500g,WH2-Kolkata,Kolkata,Laundry,901
Samsung Galaxy S24 128GB,WH2-Chennai,Chennai,Electronics,650
Nike Dri-FIT Legend Shirt,WH2-Pune,Pune,Apparel,610
D'Decor Blackout Curtains 7ft,WH1-Chennai,Chennai,Home Decor,735
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Kolkata,Kolkata,Bodycare,552
Urban Ladder Walnut Coffee Table,WH1-Hyderabad,Hyderabad,Home Decor,648
Tata Salt 1kg,WH1-Ahmedabad,Ahmedabad,Groceries,385
Samsung Galaxy S24 128GB,WH2-Pune,Pune,Electronics,144
Ariel Complete Detergent Powder 500g,WH2-Mumbai,Mumbai,Laundry,798
Rin Bar 250g,WH2-Ahmedabad,Ahmedabad,Laundry,881
Amul Gold Milk 1L,WH2-Pune,Pune,Groceries,550
IKEA RANARP Floor Lamp,WH1-Hyderabad,Hyderabad,Home Decor,717
Nivea Men Deodorant 150ml,WH2-Mumbai,Mumbai,Bodycare,613
D'Decor Blackout Curtains 7ft,WH1-Kolkata,Kolkata,Home Decor,651
Apple MacBook Air M3 13",WH2-Pune,Pune,Electronics,374
Rin Bar 250g,WH1-Pune,Pune,Laundry,833
Tata Salt 1kg,WH1-Kolkata,Kolkata,Groceries,974
Tata Salt 1kg,WH2-Ahmedabad,Ahmedabad,Groceries,205
Tata Salt 1kg,WH1-Hyderabad,Hyderabad,Groceries,598
Amul Gold Milk 1L,WH1-Bangalore,Bangalore,Groceries,34
Nike Dri-FIT Legend Shirt,WH1-Delhi,Delhi,Apparel,663
Chumbak Printed Cushion Cover 40x40cm,WH1-Pune,Pune,Home Decor,57
Milton Thermosteel Flask 1L,WH1-Chennai,Chennai,Utensils,251
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Kolkata,Kolkata,Utensils,131
Nirma Washing Powder 1kg,WH1-Delhi,Delhi,Laundry,829
Rin Bar 250g,WH2-Ahmedabad,Ahmedabad,Laundry,69
H&M Relaxed Fit Hoodie,WH1-Bangalore,Bangalore,Apparel,381
Ariel Complete Detergent Powder 500g,WH1-Kolkata,Kolkata,Laundry,430
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Ahmedabad,Ahmedabad,Bodycare,594
D'Decor Blackout Curtains 7ft,WH1-Pune,Pune,Home Decor,60
Surf Excel Matic Liquid 1L,WH2-Bangalore,Bangalore,Laundry,745
Amul Gold Milk 1L,WH1-Ahmedabad,Ahmedabad,Groceries,236
Nivea Men Deodorant 150ml,WH2-Mumbai,Mumbai,Bodycare,448
Sony Bravia 55" 4K TV,WH2-Bangalore,Bangalore,Electronics,45
Ariel Complete Detergent Powder 500g,WH2-Mumbai,Mumbai,Laundry,944
Himalaya Neem Face Wash 150ml,WH2-Pune,Pune,Bodycare,568
Chumbak Printed Cushion Cover 40x40cm,WH2-Delhi,Delhi,Home Decor,203
Ariel Complete Detergent Powder 500g,WH2-Mumbai,Mumbai,Laundry,457
Dove Cream Beauty Bathing Bar 100g,WH2-Kolkata,Kolkata,Bodycare,625
Aashirvaad Whole Wheat Atta 5kg,WH2-Chennai,Chennai,Groceries,30
Rin Bar 250g,WH1-Mumbai,Mumbai,Laundry,849
India Gate Basmati Rice (2 Years Aged) 5kg,WH2-Kolkata,Kolkata,Groceries,270
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Chennai,Chennai,Bodycare,803
Sony Bravia 55" 4K TV,WH2-Hyderabad,Hyderabad,Electronics,709
IKEA RANARP Floor Lamp,WH1-Mumbai,Mumbai,Home Decor,285
Banana Robusta 1kg,WH2-Ahmedabad,Ahmedabad,Groceries,40
IKEA RANARP Floor Lamp,WH2-Chennai,Chennai,Home Decor,856
Nivea Men Deodorant 150ml,WH2-Ahmedabad,Ahmedabad,Bodycare,541
India Gate Basmati Rice (2 Years Aged) 5kg,WH2-Hyderabad,Hyderabad,Groceries,921
Chumbak Printed Cushion Cover 40x40cm,WH1-Mumbai,Mumbai,Home Decor,284
Chumbak Printed Cushion Cover 40x40cm,WH1-Delhi,Delhi,Home Decor,766
Amul Gold Milk 1L,WH1-Hyderabad,Hyderabad,Groceries,806
FabIndia Cotton Kurta,WH1-Hyderabad,Hyderabad,Apparel,526
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Hyderabad,Hyderabad,Bodycare,694
Ariel Complete Detergent Powder 500g,WH1-Pune,Pune,Laundry,777
Nirma Washing Powder 1kg,WH2-Pune,Pune,Laundry,247
FabIndia Cotton Kurta,WH2-Mumbai,Mumbai,Apparel,281
Banana Robusta 1kg,WH2-Hyderabad,Hyderabad,Groceries,228
Himalaya Neem Face Wash 150ml,WH2-Chennai,Chennai,Bodycare,124
boAt Airdopes 141 Earbuds,WH1-Hyderabad,Hyderabad,Electronics,473
Milton Thermosteel Flask 1L,WH1-Pune,Pune,Utensils,209
Milton Thermosteel Flask 1L,WH2-Mumbai,Mumbai,Utensils,990
Chumbak Printed Cushion Cover 40x40cm,WH1-Pune,Pune,Home Decor,309
Banana Robusta 1kg,WH1-Ahmedabad,Ahmedabad,Groceries,298
Dove Cream Beauty Bathing Bar 100g,WH2-Pune,Pune,Bodycare,25
Rin Bar 250g,WH1-Mumbai,Mumbai,Laundry,920
FabIndia Cotton Kurta,WH1-Chennai,Chennai,Apparel,2
Ariel Complete Detergent Powder 500g,WH2-Chennai,Chennai,Laundry,658
Samsung Galaxy S24 128GB,WH1-Delhi,Delhi,Electronics,958
Apple MacBook Air M3 13",WH1-Pune,Pune,Electronics,710
FabIndia Cotton Kurta,WH1-Ahmedabad,Ahmedabad,Apparel,155
Nike Dri-FIT Legend Shirt,WH1-Hyderabad,Hyderabad,Apparel,630
Prestige Deluxe Alpha Pressure Cooker 5L,WH2-Hyderabad,Hyderabad,Utensils,130
D'Decor Blackout Curtains 7ft,WH1-Pune,Pune,Home Decor,562
Dove Cream Beauty Bathing Bar 100g,WH1-Hyderabad,Hyderabad,Bodycare,15
D'Decor Blackout Curtains 7ft,WH1-Delhi,Delhi,Home Decor,841
boAt Airdopes 141 Earbuds,WH1-Pune,Pune,Electronics,473
Borosil Glass Mixing Bowl Set,WH2-Chennai,Chennai,Utensils,839
Ariel Complete Detergent Powder 500g,WH2-Hyderabad,Hyderabad,Laundry,622
Himalaya Neem Face Wash 150ml,WH2-Kolkata,Kolkata,Bodycare,57
Nike Dri-FIT Legend Shirt,WH2-Delhi,Delhi,Apparel,876
Surf Excel Matic Liquid 1L,WH2-Pune,Pune,Laundry,776
FabIndia Cotton Kurta,WH2-Pune,Pune,Apparel,772
Himalaya Neem Face Wash 150ml,WH1-Chennai,Chennai,Bodycare,126
Aashirvaad Whole Wheat Atta 5kg,WH1-Kolkata,Kolkata,Groceries,524
Fortune Soya Oil 1L,WH1-Ahmedabad,Ahmedabad,Groceries,745
Rin Bar 250g,WH2-Mumbai,Mumbai,Laundry,898
Dove Cream Beauty Bathing Bar 100g,WH2-Bangalore,Bangalore,Bodycare,92
Milton Thermosteel Flask 1L,WH2-Chennai,Chennai,Utensils,846
boAt Airdopes 141 Earbuds,WH1-Delhi,Delhi,Electronics,934
D'Decor Blackout Curtains 7ft,WH2-Pune,Pune,Home Decor,965
Aashirvaad Whole Wheat Atta 5kg,WH1-Hyderabad,Hyderabad,Groceries,361
Chumbak Printed Cushion Cover 40x40cm,WH1-Chennai,Chennai,Home Decor,508
Dove Cream Beauty Bathing Bar 100g,WH2-Bangalore,Bangalore,Bodycare,288
Chumbak Printed Cushion Cover 40x40cm,WH1-Bangalore,Bangalore,Home Decor,759
H&M Relaxed Fit Hoodie,WH2-Delhi,Delhi,Apparel,608
Banana Robusta 1kg,WH1-Ahmedabad,Ahmedabad,Groceries,962
FabIndia Cotton Kurta,WH2-Chennai,Chennai,Apparel,738
Sony Bravia 55" 4K TV,WH1-Mumbai,Mumbai,Electronics,311
Borosil Glass Mixing Bowl Set,WH2-Ahmedabad,Ahmedabad,Utensils,520
Ariel Complete Detergent Powder 500g,WH1-Kolkata,Kolkata,Laundry,365
D'Decor Blackout Curtains 7ft,WH2-Mumbai,Mumbai,Home Decor,916
Urban Ladder Walnut Coffee Table,WH2-Delhi,Delhi,Home Decor,695
Aashirvaad Whole Wheat Atta 5kg,WH1-Pune,Pune,Groceries,188
IKEA RANARP Floor Lamp,WH1-Delhi,Delhi,Home Decor,230
Nike Dri-FIT Legend Shirt,WH2-Mumbai,Mumbai,Apparel,872
D'Decor Blackout Curtains 7ft,WH2-Hyderabad,Hyderabad,Home Decor,108
Ariel Complete Detergent Powder 500g,WH2-Pune,Pune,Laundry,609
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Chennai,Chennai,Bodycare,135
H&M Relaxed Fit Hoodie,WH2-Chennai,Chennai,Apparel,692
Chumbak Printed Cushion Cover 40x40cm,WH2-Pune,Pune,Home Decor,45
boAt Airdopes 141 Earbuds,WH2-Mumbai,Mumbai,Electronics,807
Nirma Washing Powder 1kg,WH1-Chennai,Chennai,Laundry,106
Himalaya Neem Face Wash 150ml,WH1-Pune,Pune,Bodycare,5
FabIndia Cotton Kurta,WH1-Bangalore,Bangalore,Apparel,944
boAt Airdopes 141 Earbuds,WH1-Pune,Pune,Electronics,976
Fortune Soya Oil 1L,WH1-Kolkata,Kolkata,Groceries,347
Amul Gold Milk 1L,WH2-Pune,Pune,Groceries,261
D'Decor Blackout Curtains 7ft,WH1-Delhi,Delhi,Home Decor,773
India Gate Basmati Rice (2 Years Aged) 5kg,WH1-Ahmedabad,Ahmedabad,Groceries,962
Hawkins Contura Non-Stick Fry Pan 26cm,WH1-Pune,Pune,Utensils,464
Milton Thermosteel Flask 1L,WH2-Mumbai,Mumbai,Utensils,528
Prestige Deluxe Alpha Pressure Cooker 5L,WH1-Bangalore,Bangalore,Utensils,25
Aashirvaad Whole Wheat Atta 5kg,WH1-Mumbai,Mumbai,Groceries,316
Hawkins Contura Non-Stick Fry Pan 26cm,WH1-Delhi,Delhi,Utensils,316
Surf Excel Matic Liquid 1L,WH2-Chennai,Chennai,Laundry,61
Rin Bar 250g,WH1-Chennai,Chennai,Laundry,315
Dove Cream Beauty Bathing Bar 100g,WH2-Kolkata,Kolkata,Bodycare,785
Urban Ladder Walnut Coffee Table,WH2-Chennai,Chennai,Home Decor,382
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Ahmedabad,Ahmedabad,Utensils,379
Aashirvaad Whole Wheat Atta 5kg,WH2-Hyderabad,Hyderabad,Groceries,484
Banana Robusta 1kg,WH2-Kolkata,Kolkata,Groceries,821
Dove Cream Beauty Bathing Bar 100g,WH1-Mumbai,Mumbai,Bodycare,235
D'Decor Blackout Curtains 7ft,WH1-Mumbai,Mumbai,Home Decor,282
Tata Salt 1kg,WH2-Kolkata,Kolkata,Groceries,624
Banana Robusta 1kg,WH1-Pune,Pune,Groceries,210
Banana Robusta 1kg,WH1-Chennai,Chennai,Groceries,583
Nivea Men Deodorant 150ml,WH2-Bangalore,Bangalore,Bodycare,115
Sony Bravia 55" 4K TV,WH2-Hyderabad,Hyderabad,Electronics,272
boAt Airdopes 141 Earbuds,WH2-Kolkata,Kolkata,Electronics,288
Pantene Advanced Hairfall Solution Shampoo 180ml,WH1-Ahmedabad,Ahmedabad,Bodycare,222
Fortune Soya Oil 1L,WH1-Hyderabad,Hyderabad,Groceries,848
Nivea Men Deodorant 150ml,WH2-Kolkata,Kolkata,Bodycare,623
Urban Ladder Walnut Coffee Table,WH2-Bangalore,Bangalore,Home Decor,309
Aashirvaad Whole Wheat Atta 5kg,WH2-Pune,Pune,Groceries,768
Nirma Washing Powder 1kg,WH1-Pune,Pune,Laundry,886
Samsung Galaxy S24 128GB,WH2-Mumbai,Mumbai,Electronics,262
Ariel Complete Detergent Powder 500g,WH2-Bangalore,Bangalore,Laundry,856
Ariel Complete Detergent Powder 500g,WH1-Hyderabad,Hyderabad,Laundry,421
Ariel Complete Detergent Powder 500g,WH2-Kolkata,Kolkata,Laundry,830
IKEA RANARP Floor Lamp,WH2-Chennai,Chennai,Home Decor,588
Milton Thermosteel Flask 1L,WH1-Ahmedabad,Ahmedabad,Utensils,742
Himalaya Neem Face Wash 150ml,WH1-Kolkata,Kolkata,Bodycare,908
FabIndia Cotton Kurta,WH2-Chennai,Chennai,Apparel,598
Rin Bar 250g,WH1-Kolkata,Kolkata,Laundry,722
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Delhi,Delhi,Utensils,630
Dove Cream Beauty Bathing Bar 100g,WH2-Mumbai,Mumbai,Bodycare,968
Chumbak Printed Cushion Cover 40x40cm,WH2-Mumbai,Mumbai,Home Decor,707
H&M Relaxed Fit Hoodie,WH1-Hyderabad,Hyderabad,Apparel,997
Chumbak Printed Cushion Cover 40x40cm,WH2-Delhi,Delhi,Home Decor,601
FabIndia Cotton Kurta,WH2-Pune,Pune,Apparel,84
Milton Thermosteel Flask 1L,WH1-Ahmedabad,Ahmedabad,Utensils,55
Milton Thermosteel Flask 1L,WH2-Delhi,Delhi,Utensils,62
Ariel Complete Detergent Powder 500g,WH1-Pune,Pune,Laundry,278
FabIndia Cotton Kurta,WH1-Mumbai,Mumbai,Apparel,463
Nike Dri-FIT Legend Shirt,WH2-Hyderabad,Hyderabad,Apparel,268
FabIndia Cotton Kurta,WH2-Kolkata,Kolkata,Apparel,421
Nivea Men Deodorant 150ml,WH2-Kolkata,Kolkata,Bodycare,154
Aashirvaad Whole Wheat Atta 5kg,WH2-Mumbai,Mumbai,Groceries,440
IKEA RANARP Floor Lamp,WH1-Pune,Pune,Home Decor,480
Ariel Complete Detergent Powder 500g,WH2-Chennai,Chennai,Laundry,149
boAt Airdopes 141 Earbuds,WH1-Ahmedabad,Ahmedabad,Electronics,950
H&M Relaxed Fit Hoodie,WH2-Bangalore,Bangalore,Apparel,588
Urban Ladder Walnut Coffee Table,WH2-Chennai,Chennai,Home Decor,131
Aashirvaad Whole Wheat Atta 5kg,WH1-Bangalore,Bangalore,Groceries,972
Nirma Washing Powder 1kg,WH2-Pune,Pune,Laundry,638
Chumbak Printed Cushion Cover 40x40cm,WH2-Chennai,Chennai,Home Decor,756
Urban Ladder Walnut Coffee Table,WH1-Bangalore,Bangalore,Home Decor,830
Pantene Advanced Hairfall Solution Shampoo 180ml,WH2-Ahmedabad,Ahmedabad,Bodycare,160
Tata Salt 1kg,WH1-Ahmedabad,Ahmedabad,Groceries,438
Borosil Glass Mixing Bowl Set,WH1-Mumbai,Mumbai,Utensils,349
Nirma Washing Powder 1kg,WH2-Bangalore,Bangalore,Laundry,522
Nirma Washing Powder 1kg,WH1-Hyderabad,Hyderabad,Laundry,263
H&M Relaxed Fit Hoodie,WH1-Chennai,Chennai,Apparel,45
Levi's 501 Original Fit Jeans,WH2-Chennai,Chennai,Apparel,570
Amul Gold Milk 1L,WH2-Pune,Pune,Groceries,567
Sony Bravia 55" 4K TV,WH2-Kolkata,Kolkata,Electronics,722
Himalaya Neem Face Wash 150ml,WH2-Delhi,Delhi,Bodycare,236
Ariel Complete Detergent Powder 500g,WH1-Pune,Pune,Laundry,552
Dove Cream Beauty Bathing Bar 100g,WH2-Hyderabad,Hyderabad,Bodycare,931
Amul Gold Milk 1L,WH2-Bangalore,Bangalore,Groceries,603
Amul Gold Milk 1L,WH2-Pune,Pune,Groceries,18
Hawkins Contura Non-Stick Fry Pan 26cm,WH2-Hyderabad,Hyderabad,Utensils,773
IKEA RANARP Floor Lamp,WH1-Delhi,Delhi,Home Decor,514
IKEA RANARP Floor Lamp,WH2-Pune,Pune,Home Decor,860
Aashirvaad Whole Wheat Atta 5kg,WH1-Chennai,Chennai,Groceries,711
Levi's 501 Original Fit Jeans,WH2-Hyderabad,Hyderabad,Apparel,816
Fortune Soya Oil 1L,WH1-Kolkata,Kolkata,Groceries,340
Nirma Washing Powder 1kg,WH1-Kolkata,Kolkata,Laundry,227
boAt Airdopes 141 Earbuds,WH2-Hyderabad,Hyderabad,Electronics,25
Surf Excel Matic Liquid 1L,WH1-Bangalore,Bangalore,Laundry,863
India Gate Basmati Rice (2 Years Aged) 5kg,WH2-Hyderabad,Hyderabad,Groceries,139
Himalaya Neem Face Wash 150ml,WH1-Mumbai,Mumbai,Bodycare,427
Nike Dri-FIT Legend Shirt,WH2-Pune,Pune,Apparel,929
